id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
16213648,Superbe appart rez-duplex 3ch 160m2 terrassejardin,104779114,Filippa,,Forest,50.82098,4.32877,Entire home/apt,205,6,11,2022-01-20,0.19,1,286,2,
16218177,COSY STUDIO 1B,41161396,Simon,,Bruxelles,50.85371,4.35794,Entire home/apt,76,2,105,2022-05-01,1.58,10,191,9,
16219475,Studio-Bertrand,105968677,Pascal,,Saint-Gilles,50.82555,4.35431,Entire home/apt,69,2,388,2022-06-12,5.78,1,353,52,
16234717,Brussels Sunny Studio Residence - EU AREA,2271539,Dalila,,Etterbeek,50.83776,4.38775,Entire home/apt,250,7,51,2022-04-26,0.76,4,362,6,
14784479,Elegant and Spacious Apartment in St Gilles,92297440,Jan,,Saint-Gilles,50.83068,4.34401,Entire home/apt,107,4,58,2021-09-08,0.85,1,90,2,
14798913,1°Garden Flat Center 1XBed Yes extended stays HERE,91323429,Dominique,,Bruxelles,50.8427,4.37857,Entire home/apt,53,80,2,2019-09-01,0.05,3,1,0,
14822879,Appart +-100M² avec  terrasse plein sud,92230821,Sabry,,Anderlecht,50.83593,4.3031,Private room,33,2,43,2021-08-27,0.61,1,25,1,
14878328,Spacieuse chambre privée au coeur de Bruxelles !,36184225,Fefe,,Bruxelles,50.84383,4.35267,Private room,39,1,52,2022-06-08,0.75,3,324,9,
14884221,1,93342167,Youssef,,Anderlecht,50.83762,4.31234,Entire home/apt,70,1,29,2022-01-03,0.41,1,65,5,
14889716,"Luminous,  artistic  design loft with garden",4975592,Hannah,,Anderlecht,50.84138,4.33381,Entire home/apt,125,1,63,2022-06-10,0.93,1,31,16,
14949559,Private Room in nice villa(Easy access with Metro),94084447,Louise&Willy,,Woluwe-Saint-Lambert,50.84803,4.44766,Private room,45,1,44,2022-05-06,0.64,1,48,4,
14953036,Appartement Au 7 place du Chatelain,94122472,Elie,,Ixelles,50.82597,4.35958,Entire home/apt,70,3,34,2022-05-04,0.49,1,227,3,
14985329,Room with private bathroom. 5 min from the center,94445481,Chris,,Bruxelles,50.85557,4.34437,Private room,45,5,26,2022-02-01,0.40,2,314,3,
14987212,Chez Mikey's,35399411,Michael,,Saint-Gilles,50.82853,4.33953,Private room,48,1,677,2022-06-12,9.75,1,142,100,
15034505,Lumineux penthouse à Uccle quartier résidentiel,94952458,Monique,,Uccle,50.80825,4.33902,Entire home/apt,78,7,18,2020-08-27,0.30,1,169,0,
